NAME,COUNTRY,CITY,POSTALCODE,WEBSITE,CONTACT_NAME,POSITION
LEPTOS CALYPSO HOTELS,Cyprus,PAPHOS,8099,https://navigate.itb.com/company/LEPTOS-CALYPSO-HOTELS--1206999,PANAYIOTIS ATTAS,GROUP SALES & MARKETING DIRECTOR
Le Relais de l´Hermitage,Réunion,Saint Gilles les Bains,97434,https://navigate.itb.com/company/Le-Relais-de-l´Hermitage--1034051,Francoise Cristina,Représentante commerciale
Liberty Hotels & Resorts,Türkiye,Mugla,48300,https://navigate.itb.com/company/Liberty-Hotels-Resorts--1100044,Serap AKIN,Marketing Director
LifeClass Hotels & Spa,Slovenia,Portoroz,6320,https://navigate.itb.com/company/LifeClass-Hotels-Spa--1025127,Frank Rohler,Area Sales Manager
"LIFE SOURCE: HOTEL****S, FOOD EXPERIENCE & CLINIC",Italy,BERGAMO,24129,https://navigate.itb.com/company/LIFE-SOURCE:-HOTEL****S-FOOD-EXPERIENCE-CLINIC--1217013,NICOLETTA NODARI,MARKETING MANAGER
"Lihim Resorts, el Nido by Araw Hospitality Inc.",Philippines,Palawan,5313,https://navigate.itb.com/company/Lihim-Resorts-el-Nido-by-Araw-Hospitality-Inc--1208100,Mychylle Teo,Group Associate Director of Sales
Lily Hotels,Maldives,Male',0000,https://navigate.itb.com/company/Lily-Hotels--1025157,Mohamed Muzaffar Ahmed,Business Development Manager
Lionea do.o.,Croatia,Porec,52440,https://navigate.itb.com/company/Lionea-do-o--1215193,Anja Beck,Manager Global Network & Operations
Lion Roars Hotels & Amakhala Game Lodges,South Africa,Cape Town,8001,https://navigate.itb.com/company/Lion-Roars-Hotels-Amakhala-Game-Lodges--1192166,Teena Douglas,Group Sales Manager
Lipica Stud Farm and Hotel Maestoso 4*S,Slovenia,Sezana,6210,https://navigate.itb.com/company/Lipica-Stud-Farm-and-Hotel-Maestoso-4*S--1207250,Aleksander Bak,Business Development and Sales Manager
Loberias del Sur - Carretera Austral,Chile,Puerto Aysen,6000000,https://navigate.itb.com/company/Loberias-del-Sur---Carretera-Austral--1216242,Rodrigo Bravo Solá,Manager
Locke de Santa Joana,Portugal,Lisboa,1150-084,https://navigate.itb.com/company/Locke-de-Santa-Joana--1216642,Ana Bártolo,
LOGUERS Hotel Sales & Marketing,Greece,RETHYMNO,74100,https://navigate.itb.com/company/LOGUERS-Hotel-Sales-Marketing--1216541,Georgios Chroniaris,Contract Manager
Loligo & Let’s Sea Hua Hin,Thailand,Hua Hin,77110,https://navigate.itb.com/company/Loligo-Let’s-Sea-Hua-Hin--1025039,Srayut Ekahitanonda,CEO
"LOPESAN HOTELS MANAGEMENT, S.L.U.",Spain,Las Palmas de Gran Canaria,35006,https://navigate.itb.com/company/LOPESAN-HOTELS-MANAGEMENT-S-L-U--1025515,Marta Déniz,Trade Marketing Specialist
LORO PARQUE,Spain,Santa Cruz de Tenerife,38400,https://navigate.itb.com/company/LORO-PARQUE--1025531,Omaira González,Commercial Department
Lotsane Limpopo Luxury River Lodge,Botswana,Tuli Block,0,https://navigate.itb.com/company/Lotsane-Limpopo-Luxury-River-Lodge--1214816,Petra Moos,
Lotus Therme Hotel & Spa,Hungary,Hévíz,8380,https://navigate.itb.com/company/Lotus-Therme-Hotel-Spa--1209119,Viktor Kosztolánczi,Director of Sales & Marketing
Louis Hotels,Cyprus,Egkomi,2413,https://navigate.itb.com/company/Louis-Hotels--1025564,Charalambos Lardas,General manager Sales and Marketing
Louvre Hotels Group,France,Puteaux/La Défense,92800,https://navigate.itb.com/company/Louvre-Hotels-Group--1025571,Olivier DAURAT,VP Sales & Distribution
Lower Dover,Belize,San Ignacio,0,https://navigate.itb.com/company/Lower-Dover--1213460,Katja Doehne,Marketing Assistant
LP SRL,Italy,Castel del Piano (GR),58033,https://navigate.itb.com/company/LP-SRL--1217036,Victor Iacobescu,Hospitality Manager
Lulu Guest House,Zimbabwe,Victoria Falls,N/A,https://navigate.itb.com/company/Lulu-Guest-House--1215884,John Sianaga,Marketing Manager
LUNA BLANCA RESORT & SPA,Türkiye,Manavgat-Side,07600,https://navigate.itb.com/company/LUNA-BLANCA-RESORT-SPA--1216665,Halenur Cengiz,Head of Reservation
Luna Hotels & Resorts,Portugal,Albufeira,8200-911,https://navigate.itb.com/company/Luna-Hotels-Resorts--1025712,Sónia Coixão,
Youth hostel association Luxembourg,Luxembourg,Luxembourg,L-2261,https://navigate.itb.com/company/Youth-hostel-association-Luxembourg--1216568,Martine Backendorf,Marketing & Communication Manager
Ly.com(TONGCHENG),China,SUZHOU,215123,https://navigate.itb.com/company/Ly-comTONGCHENG--1212926,Hang Liu,Marketing  Director
Centara Hotels & Resorts,Thailand,Bangkok,10330,https://navigate.itb.com/company/Centara-Hotels-Resorts--1007155,Svetlana Raoes,Corporate Global Sales Director
Macià Hotels Group,Spain,Granada,18001,https://navigate.itb.com/company/Macià-Hotels-Group--1216735,Juan Pablo Arias,Sales Manager
Madi a Thavha Mountain Lodge,South Africa,Limpopo,0920,https://navigate.itb.com/company/Madi-a-Thavha-Mountain-Lodge--1216906,Mukundi Ramaite,General Manager
Madifushi Private Island,Maldives,Male',00,https://navigate.itb.com/company/Madifushi-Private-Island--1216256,Nasha Nasheed,Cluster Marketing Manager
Madulkelle Hotels and Lodge (Pvt) Ltd,Sri Lanka,Madulkelle,20840,https://navigate.itb.com/company/Madulkelle-Hotels-and-Lodge-Pvt-Ltd--1025925,Dilki Theekshani,Sales & Reservation Manager
Magic Hotels & Resorts,Spain,Benidorm (Alicante),03501,https://navigate.itb.com/company/Magic-Hotels-Resorts--1205975,Sergio España Pérez,Sales Manager
Magros Veletrgovina d.d. podruznica Swissotel,Bosnia & Herzegovina,Sarajevo,71000,https://navigate.itb.com/company/Magros-Veletrgovina-d-d--podruznica-Swissotel--1216979,Kozljak Zlata,General Manager
Mai Resorts,Thailand,Phang Nga,82190,https://navigate.itb.com/company/Mai-Resorts--1215575,Sopana Thevahudee,"C.E.O, Sales & Marketing"
Maitai Hotels,French Polynesia,Tahiti,98702,https://navigate.itb.com/company/Maitai-Hotels--1020497,Stephanie Mages,Europe Sales Representative
Makunudu Island Resort,Maldives,Male',00,https://navigate.itb.com/company/Makunudu-Island-Resort--1026106,Arjay Abeldor,Sales & Marketing Manager
Malahini Kuda Bandos,Maldives,Male',0000,https://navigate.itb.com/company/Malahini-Kuda-Bandos--1026113,Mohamed Shamee,Executive Secretary
Malak Hotel d.o.o.,Bosnia & Herzegovina,Sarajevo,71210,https://navigate.itb.com/company/Malak-Hotel-d-o-o--1020286,Ajla Gračić,Sales and reservations
Malikia Resort Abu Dabbab,Egypt,Marsa Alam,3636,https://navigate.itb.com/company/Malikia-Resort-Abu-Dabbab--1026147,Karam BADRA,Director of Sales & Marketing
MALTA MARRIOTT RESORT & SPA,Malta,St. Julians,STJ 1017,https://navigate.itb.com/company/MALTA-MARRIOTT-RESORT-SPA--1026164,Ramy Habshy,Leisure Sales Manager
MAMA SHELTER HOTEL L.L.C,United Arab Emirates,Dubai,52700,https://navigate.itb.com/company/MAMA-SHELTER-HOTEL-L-L-C--1216169,Islam Gamal,Director of Sales
MAMA SHELTER LISBOA,Portugal,Lisboa,1250-051,https://navigate.itb.com/company/MAMA-SHELTER-LISBOA--1216641,Afonso Magalhães,
Manchebo Beach Resort & Spa,Aruba,Eagle Beach,0000,https://navigate.itb.com/company/Manchebo-Beach-Resort-Spa--1026202,Edgar Roelofs,General Manager
Mandara Hotels,Sri Lanka,Colombo 05,00500,https://navigate.itb.com/company/Mandara-Hotels--1026209,Thilini Palihawadana,Vice President - Sales
Mandarava Resort and Spa,Thailand,Phuket,83100,https://navigate.itb.com/company/Mandarava-Resort-and-Spa--1215634,Nongnuch Muangroong,Director of Sales
Mangia's Resorts and Clubs,Italy,Palermo,90139,https://navigate.itb.com/company/Mangia's-Resorts-and-Clubs--1000782,Patrizia Costa,Director of Sales
Mantis Collection,South Africa,Paarl,7646,https://navigate.itb.com/company/Mantis-Collection--1026247,Donna Moodley,Cluster Sales Manager
Mapesu Private Game Reserve,South Africa,Musina,0900,https://navigate.itb.com/company/Mapesu-Private-Game-Reserve--1212555,Bill Perlot,Sales representative
Maradiva Villas Resort & Spa and Sands Suites Resort & Spa,Mauritius,Flic en Flac,0,https://navigate.itb.com/company/Maradiva-Villas-Resort-Spa-and-Sands-Suites-Resort-Spa--1026283,Usha Bohanee,
Fort Resort,Sri Lanka,Colombo 01,00100,https://navigate.itb.com/company/Fort-Resort--1214465,Mohamed Musharaf,General Manager
Mar-Bella Collection,Greece,Corfu,49084,https://navigate.itb.com/company/Mar-Bella-Collection--1207995,Areti Kitsou,Sales Manager
Maritim Resort & Spa Mauritius,Mauritius,Balaclava,0,https://navigate.itb.com/company/Maritim-Resort-Spa-Mauritius--1026430,Jane Cheekhoory,
Marriott International,Malaysia,Kuala Lumpur,50470,https://navigate.itb.com/company/Marriott-International--1217003,Joyce Wong,Country Director Sales & Distribution Malaysia
Marriott International - Egypt,Egypt,Cairo,11511,https://navigate.itb.com/company/Marriott-International---Egypt--1206873,Nesreen Shawky,Director of Sales and Marketing
Marriott Resort Palm Jumeirah,United Arab Emirates,Dubai,62049,https://navigate.itb.com/company/Marriott-Resort-Palm-Jumeirah--1026521,Mariem Belhaj,Asst. Sales Manager
"Maru Maru Hotel, Zanzibar",Tanzania,Zanzibar,4053,https://navigate.itb.com/company/Maru-Maru-Hotel-Zanzibar--1026561,Hemantha Welaratne,General Manager
MASON,Thailand,Chonburi,20250,https://navigate.itb.com/company/MASON--1026593,Pornpun Ratanapitakkul,General Manager
Mast Hotels & Resorts,Greece,Preveza,48100,https://navigate.itb.com/company/Mast-Hotels-Resorts--1215629,Christos Ioannou,Owner
MATCHA Samui Resort,Thailand,Suratthani,84320,https://navigate.itb.com/company/MATCHA-Samui-Resort--1206343,Anyanan Danuphoboriboon,Director of Sales and Marketing
MAYFAIR CRUISES,Egypt,Cairo,11341,https://navigate.itb.com/company/MAYFAIR-CRUISES--1026733,Maggie Petrova,Commercial Director
MAYFAIR HOTELS,Cyprus,Paphos,8046,https://navigate.itb.com/company/MAYFAIR-HOTELS--1026736,Christos Loizides,Sales & Marketing Director
Hotel Eleven,Montenegro,"Petrovac, Budva",85300,https://navigate.itb.com/company/Hotel-Eleven--1215870,Vladimir Medin,General manager
Miraggio Thermal Spa Resort,Greece,Halkidiki,63085,https://navigate.itb.com/company/Miraggio-Thermal-Spa-Resort--1027619,Stefanos Iliadis,Director of Sales & Marketing
Megaworld Hotels & Resorts,Philippines,Taguig,1634,https://navigate.itb.com/company/Megaworld-Hotels-Resorts--1208102,Claire del Rosario-Bernabe,Head of Sales & Strategic Partnerships
MEININGER Shared Services GmbH,Germany,Berlin,10963,https://navigate.itb.com/company/MEININGER-Shared-Services-GmbH--1027022,Leo Resende,Events Manager
Melia Bali,Indonesia,Nusa Dua,80363,https://navigate.itb.com/company/Melia-Bali--1027043,Eduardo Perera Castro,General Manager
MELIA HOTELS INTERNATIONAL,Spain,Palma,07009,https://navigate.itb.com/company/MELIA-HOTELS-INTERNATIONAL--1151478,Mario Tirado,Trade Fairs Specialist
Melia Hotels International - Bulgaria,Bulgaria,Sofia,1407,https://navigate.itb.com/company/Melia-Hotels-International---Bulgaria--1027051,Mariana Kostadinova,Sales Manager
Meliá Hotels Thailand,Thailand,Chiang Mai,50100,https://navigate.itb.com/company/Meliá-Hotels-Thailand--1215975,Thanyarot Sombutpoonsiri,Cluster Leisure Sales Director
Meliá Pattaya Hotel,Thailand,Pattaya,20150,https://navigate.itb.com/company/Meliá-Pattaya-Hotel--1215625,Yu Ka Ki,"Director of Sales & Marketing, Melia Pattaya Hotel"
Mellow Mood Hotels,Hungary,Budapest,1077,https://navigate.itb.com/company/Mellow-Mood-Hotels--1209048,Andrea Koltai,Director of Sales
Mercure ICON Singapore City Centre & Novotel Singapore on Kitchener,Singapore,Singapore,208533,https://navigate.itb.com/company/Mercure-ICON-Singapore-City-Centre-Novotel-Singapore-on-Kitchener--1204729,Cassandra Lin,
Mercury Phu Quoc Resort & Villas,Vietnam,Kien Giang,920000,https://navigate.itb.com/company/Mercury-Phu-Quoc-Resort-Villas--1216923,Khiem Le Thi Truc,Assistant Director of Sale
Merusaka Nusa Dua,Indonesia,Bali,80363,https://navigate.itb.com/company/Merusaka-Nusa-Dua--1027162,Ian Cameron,General Manager
Metadee Concept Hotel,Thailand,Phuket,83100,https://navigate.itb.com/company/Metadee-Concept-Hotel--1204709,Ploywadee Dibbayawan,Director of Sales and Marketing
MGM,Macao SAR China,Macao,999078,https://navigate.itb.com/company/MGM--1213419,Pik Yan Cindy Lui,Assistant Vice President of Resort Sales
MGM Muthu Hotels,Portugal,Funchal,9000-100,https://navigate.itb.com/company/MGM-Muthu-Hotels--1216637,Carla Jesus,
Mida Grande Resort Phuket,Thailand,Phuket,83110,https://navigate.itb.com/company/Mida-Grande-Resort-Phuket--1215736,Natthadit Thitaruengrachata,Director of Sales
Miki Travel Ltd,United Kingdom,London,EC4V 3BJ,https://navigate.itb.com/company/Miki-Travel-Ltd--1211721,Iveta Roos,Coordination Manager
Millennium Hotels & Resorts,Singapore,Singapore,169662,https://navigate.itb.com/company/Millennium-Hotels-Resorts--1027456,Mia Kwang Lim,
"Ministry of Information, Culture and Tourism Lao PDR",Laos,Vientiane Capital City,10100,https://navigate.itb.com/company/Ministry-of-Information-Culture-and-Tourism-Lao-PDR--1027569,Kettasone Sundara,Director
"Ministry of Tourism, Wildlife and Antiquities",Uganda,Kampala,+25641,https://navigate.itb.com/company/Ministry-of-Tourism-Wildlife-and-Antiquities--1213771,Berandette Asiimwe Bazirake,Senior Tourism Officer
MINISTRY OF TOURISM AND CREATIVE ECONOMY,Indonesia,Jakarta,10110,https://navigate.itb.com/company/MINISTRY-OF-TOURISM-AND-CREATIVE-ECONOMY--1027577,Ayu Surya,Senior Manager
Minor Hotels,Thailand,Bangkok,10110,https://navigate.itb.com/company/Minor-Hotels--1027598,Chirodeep Chakraborty,Regional Director of Sales - Asia
Minos Imperial,Greece,"Milatos, Lassithi, Crete",72400,https://navigate.itb.com/company/Minos-Imperial--1215632,Minos Geniatakis,Owner
Miramar Al Aqah Beach Resort,United Arab Emirates,Fujairah,5218,https://navigate.itb.com/company/Miramar-Al-Aqah-Beach-Resort--1027620,Sherif Ibrahim Khalifa,Director of Sales & Marketing
MIRAMARE HOTELS,Türkiye,ANTALYA,07330,https://navigate.itb.com/company/MIRAMARE-HOTELS--1100046,Banu Serhan ÖZBAY,duty general manager
Mirihi Island Resort,Maldives,Male',0000,https://navigate.itb.com/company/Mirihi-Island-Resort--1027626,Mohamed Ayaaz,Sales & Marketing Manager
Misibis Resort and Hotel Management Inc.,Philippines,Albay,4509,https://navigate.itb.com/company/Misibis-Resort-and-Hotel-Management-Inc--1216349,Jillian Cuaki,Sales Manager
MITSIS,Greece,Athens,11147,https://navigate.itb.com/company/MITSIS--1022906,Klery Kourouvani,Marketing Manager
Mnarani Beach Club,Kenya,Kilifi,80108,https://navigate.itb.com/company/Mnarani-Beach-Club--1215979,Lisa Roos,Sales
Moivaro Lodges and Tented Camps,Tanzania,Arusha,11297,https://navigate.itb.com/company/Moivaro-Lodges-and-Tented-Camps--1204748,Monique Janmaat,International Marketing
Molos Bay Hotel,Greece,"Kasteli Kissamou, Chania, Crete",73400,https://navigate.itb.com/company/Molos-Bay-Hotel--1027829,Giorgos Vlachakis,Owner
Mom Tri's Villa Royale,Thailand,Phuket,83100,https://navigate.itb.com/company/Mom-Tri's-Villa-Royale--1204715,Khajohnsak Phonboon,Director of Sales
Mondorf Domaine Thermal,Luxembourg,Mondorf-les-Bains,L-5601,https://navigate.itb.com/company/Mondorf-Domaine-Thermal--1027862,Anaïs Erpelding,Head of Communication
Morena Eco Resort,Curaçao,Willemstad,0,https://navigate.itb.com/company/Morena-Eco-Resort--1027952,Vera van der Wielen,
Morgabine Hospitality,Réunion,Saint Paul,97434,https://navigate.itb.com/company/Morgabine-Hospitality--1215372,Eric Laurent,Direktor
"Mori Trust Hotels & Resorts Co.,Ltd.",Japan,Tokyo,1400001,"https://navigate.itb.com/company/Mori-Trust-Hotels-Resorts-Co-,Ltd--1215562",Aya Matsumura,Assistant Sales Manager
Morshed Garden Hotel,Iran,Yazd,8919944614,https://navigate.itb.com/company/Morshed-Garden-Hotel--1216413,Yadolah Fazeli,Managing Director
Move Hotels,Italy,"Mogliano Veneto, Treviso",31021,https://navigate.itb.com/company/Move-Hotels--1216174,Sabina Agugiaro,Reservation Manager
Mövenpick Hotel Basel,Switzerland,Basel,4051,https://navigate.itb.com/company/Mövenpick-Hotel-Basel--1216521,Mario Schuknecht,
MOVENPICK HOTEL JUMEIRAH BEACH,United Arab Emirates,Dubai,282825,https://navigate.itb.com/company/MOVENPICK-HOTEL-JUMEIRAH-BEACH--1028049,Ahmad GHOSHEH,Director of Sales & Marketing
Mövenpick Hotel Mansour Eddahbi Marrakech,Morocco,Marrakech,40000,https://navigate.itb.com/company/Mövenpick-Hotel-Mansour-Eddahbi-Marrakech--1217005,Mohamed Qodad,
Mövenpick Resort & Spa El Gouna,Egypt,Red Sea,84511,https://navigate.itb.com/company/Mövenpick-Resort-Spa-El-Gouna--1216502,Hanan Mohamed,Director of Sales & Marketing
Movenpick Resort Kuredhivaru Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Movenpick-Resort-Kuredhivaru-Maldives--1028071,Liu Lingqiao,Director of Sales & Marketing
Mövenpick Resort Waverly Phu Quoc,Vietnam,Phu Quoc,920000,https://navigate.itb.com/company/Mövenpick-Resort-Waverly-Phu-Quoc--1216994,Claudio Schibli,General Manager
MPM HOTELS LTD,Bulgaria,Sofia,1700,https://navigate.itb.com/company/MPM-HOTELS-LTD--1028100,Chavdar Blazhev,Sales and Marketing Director
Msandile River Lodge,Zambia,Kakumbi,0000aa,https://navigate.itb.com/company/Msandile-River-Lodge--1216566,Frank Rozestraten,Owner
MS Hotels - MS Collection e Moon & Sun,Portugal,Ramalde,4100-320,https://navigate.itb.com/company/MS-Hotels---MS-Collection-e-Moon-Sun--1216917,Helena Valente,
Municipality of Sandanski,Bulgaria,Sandanski,2800,https://navigate.itb.com/company/Municipality-of-Sandanski--1216536,Albena Bugarinova,Junior expert in Public relations
Municipalty of Samokov & Borovets Resort,Bulgaria,Samokov,2000,https://navigate.itb.com/company/Municipalty-of-Samokov-Borovets-Resort--1035650,Ivanka Vukova,Manager TIC
Muskita Hotels Ltd - Four Seasons & Amathus Hotels,Cyprus,Limassol,"4532,",https://navigate.itb.com/company/Muskita-Hotels-Ltd---Four-Seasons-Amathus-Hotels--1028391,Nick Aristou,
Nagoya Marriott Associa Hotel / JR-Central Hotels,Japan,"Chiyoda-ku, Tokyo",102-0072,https://navigate.itb.com/company/Nagoya-Marriott-Associa-Hotel-/-JR-Central-Hotels--1216278,Atsuko Kamiya,Manager
Nallikari By the Sea,Finland,Oulu,90100,https://navigate.itb.com/company/Nallikari-By-the-Sea--1215584,Niina Hepo-oja,
Namaka Resort Kamala,Thailand,Phuket,83150,https://navigate.itb.com/company/Namaka-Resort-Kamala--1215638,Wanniwat Srisupapol,Area Director of Sales & Marketing
Namibia Tracks & Trails,Namibia,Swakopmund,0,https://navigate.itb.com/company/Namibia-Tracks-Trails--1028558,Wiebke Priilaid,Marketing & Procurement Manager
Namibia Wildlife Resorts,Namibia,Windhoek,0000,https://navigate.itb.com/company/Namibia-Wildlife-Resorts--1213530,Tangeni Kaulu,Manager: Trade Promotions
Naples Grande Beach Resort,United States of America,Naples,34103,https://navigate.itb.com/company/Naples-Grande-Beach-Resort--1215927,Althea Allen,
NATROVA INVERSIONES SL,Spain,Huelva,41800,https://navigate.itb.com/company/NATROVA-INVERSIONES-SL--1216713,MANUEL Muñoz PALACIOS,Director
Nattika Beach Ayurveda and Yoga Centre Pvt Ltd,India,Thrissur,680566,https://navigate.itb.com/company/Nattika-Beach-Ayurveda-and-Yoga-Centre-Pvt-Ltd--1028679,Joseph Kodath,Director
Naturally Namibia,Namibia,Windhoek,0,https://navigate.itb.com/company/Naturally-Namibia--1028694,Miriam Schmidt,Marketing Manager
Naumi Hotels,Singapore,Singapore,189652,https://navigate.itb.com/company/Naumi-Hotels--1215273,Sharon Woo,
NELIA BEACH HOTEL & SPA/NELIA GARDENS HOTEL/KALIVA SUITES,Cyprus,AMMOCHOSTOS,5340,https://navigate.itb.com/company/NELIA-BEACH-HOTEL-SPA/NELIA-GARDENS-HOTEL/KALIVA-SUITES--1206384,ANGELOS NICOLAOU,GENERAL MANAGER
Neptune Hotels (Zanzibar) Limited,Tanzania,Zanzibar,0,https://navigate.itb.com/company/Neptune-Hotels-Zanzibar-Limited--1028849,Shams Tejani,
New Star Beach Resort,Thailand,"Koh Samui, Suratthani",84320,https://navigate.itb.com/company/New-Star-Beach-Resort--1207680,Nisarat Chuenchana,Sales & Marketing Consultant
NEWTOURVIS,Spain,MALAGA,29006,https://navigate.itb.com/company/NEWTOURVIS--1029001,JUAN CARLOS TOME,MANAGER INCOMING
New World Millennium Hong Kong Hotel,Hong Kong SAR China,Hong Kong SAR,N/A,https://navigate.itb.com/company/New-World-Millennium-Hong-Kong-Hotel--1028975,Perry Li,Assistant Director of Business Development - Travel Trade
NEYA Porto Hotel,Portugal,Porto,4050-394,https://navigate.itb.com/company/NEYA-Porto-Hotel--1029054,Sara Freire,
Nh Collection Dubai The Palm,United Arab Emirates,Dubai,00000,https://navigate.itb.com/company/Nh-Collection-Dubai-The-Palm--1216996,Narendra Kumar Upadhyay,Director of Sales
NH Prague City and NH Collection Prague,Czechia,Praha 5,150 00,https://navigate.itb.com/company/NH-Prague-City-and-NH-Collection-Prague--1215905,Gabriela Lönn,
Nika Island Resort & Spa,Maldives,Male',0000,https://navigate.itb.com/company/Nika-Island-Resort-Spa--1029129,Mohamed Saeed,Managing Director
Nikki Beach Resort & Spa Koh Samui,Thailand,Surat Thani,84140,https://navigate.itb.com/company/Nikki-Beach-Resort-Spa-Koh-Samui--1215631,Anna Buckland,Director of Sales
Nikki Beach Resort and Spa Dubai,United Arab Emirates,Dubai,8286,https://navigate.itb.com/company/Nikki-Beach-Resort-and-Spa-Dubai--1029133,Haitham Heyasat,DOSM
Nirwana Pte Ltd,Singapore,Singapore,099254,https://navigate.itb.com/company/Nirwana-Pte-Ltd--1029204,Hazel Leow,
NISSI BEACH RESORT,Cyprus,FAMAGUSTA,5340,https://navigate.itb.com/company/NISSI-BEACH-RESORT--1029209,CHRISTOS LOUCA,
Nivunki Village,Finland,Äkäslompolo,95970,https://navigate.itb.com/company/Nivunki-Village--1215586,Sami Luoto,
NKURINGO SAFARIS LTD,Uganda,ENTEBBE,000256,https://navigate.itb.com/company/NKURINGO-SAFARIS-LTD--1029226,CATHERINE NABBAALE,SAFARI MANAGER
Noi Hotels,Chile,Santiago,7500000,https://navigate.itb.com/company/Noi-Hotels--1029271,Maria Francisca Castro de Halleux,Tour & Travel Manager
"Noku Maldives, Vignette Collection",Maldives,,20188,https://navigate.itb.com/company/Noku-Maldives-Vignette-Collection--1215934,Naufal Naeem,Director of Sales & Marketing
NOOE Maldives Kunaavashi,Maldives,,,https://navigate.itb.com/company/NOOE-Maldives-Kunaavashi--1215939,Haizoom Hameed,Assistant Director of Sales
Nora Resorts Hotels,Thailand,"Koh Samui, Suratthani",84320,https://navigate.itb.com/company/Nora-Resorts-Hotels--1216254,Vorasit Pongkumpunt,Personal Assistant
Nordic Unique Travels Oy,Finland,Rovaniemi,96200,https://navigate.itb.com/company/Nordic-Unique-Travels-Oy--1216636,Mickey WANG,Administration Manager
Northern Lights Village,Finland,Saariselkä,99830,https://navigate.itb.com/company/Northern-Lights-Village--1029394,André Henke Marques,General Manager
Nova Hotels Ltd,Tanzania,Zanzibar,P. O.Box 1361,https://navigate.itb.com/company/Nova-Hotels-Ltd--1029436,Sujit Shah,Sales & Marketing
Nova Maldives,Maldives,Male',0000,https://navigate.itb.com/company/Nova-Maldives--1215959,Ekaterina Shmykova,Senior Sales Manager
NOVASOL,Denmark,Virum,2830,https://navigate.itb.com/company/NOVASOL--1029460,John Adams,Head of Third Party Partnerships
Novotel Bali Ubud Resort,Indonesia,Gianyar,80572,https://navigate.itb.com/company/Novotel-Bali-Ubud-Resort--1216661,Ni Nyoman Sri Wahyuni,Director of Sales and Marketing
Novotel Basel City,Switzerland,Basel,4052,https://navigate.itb.com/company/Novotel-Basel-City--1216515,Lena Kienberger,
Novotel Marsa Alam,Egypt,Marsa Alam,84721,https://navigate.itb.com/company/Novotel-Marsa-Alam--1216512,Edouard Reizian,General Manager
NUMO Hotels & Resorts,Greece,Athens,10561,https://navigate.itb.com/company/NUMO-Hotels-Resorts--1029545,George Georgakopoulos,Sales Manager
Nusa Dua Beach Hotel & Spa,Indonesia,"Nusa Dua, Bali",80363,https://navigate.itb.com/company/Nusa-Dua-Beach-Hotel-Spa--1206155,Ludri Ratnawati,Director of Sales & Marketing
Nxai Travel,Botswana,Gaborone,00267,https://navigate.itb.com/company/Nxai-Travel--1216361,Keletso Guga,Managing Director
O'Donoghue Ring Collection,Ireland,Kerry,V93 X3VW,https://navigate.itb.com/company/O'Donoghue-Ring-Collection--1205423,Niamh O'Neill,International Business Development Manager
Oak Ray Tea Bush (Pvt) Ltd,Sri Lanka,Kandy,20000,https://navigate.itb.com/company/Oak-Ray-Tea-Bush-Pvt-Ltd--1214253,Sajith Kahapalaarachchi,Assistant Reservation Manager
OBS OnlineBuchungService GmbH,Germany,Regensburg,93059,https://navigate.itb.com/company/OBS-OnlineBuchungService-GmbH--1030044,Dennis Blut,Teamleitung Neukundenberatung
Occidental Sharjah Grand,United Arab Emirates,Sharjah,6059,https://navigate.itb.com/company/Occidental-Sharjah-Grand--1029713,Bassem Philobos,
Ocean Paradise Resort and Spa,Tanzania,Zanzibar,0,https://navigate.itb.com/company/Ocean-Paradise-Resort-and-Spa--1029723,Antonie Du Preez,Manager
Ohorongo Game and Safari Lodge (Pty) Ltd,Namibia,Outjo,9000,https://navigate.itb.com/company/Ohorongo-Game-and-Safari-Lodge-Pty-Ltd--1206354,Sylvia Henke,Sales and Marketing Manager
Ol Tukai Lodge,Kenya,Nairobi,00100,https://navigate.itb.com/company/Ol-Tukai-Lodge--1207811,James Chege,
Ombak Group Gili Trawangan,Indonesia,North lombok,83355,https://navigate.itb.com/company/Ombak-Group-Gili-Trawangan--1205148,Marina Tayeb,Managing Director
Ondili Lodge Management PTY LTD,Namibia,Windhoek,10012,https://navigate.itb.com/company/Ondili-Lodge-Management-PTY-LTD--1206219,Klaus Ebner,Manager Sales & Marketing
ONOMO Hotels,South Africa,Cape Town,7530,https://navigate.itb.com/company/ONOMO-Hotels--1215332,Lurene Krone,Cluster Sales Manager
ONYX Hospitality Group,Thailand,BANGKOK,10310,https://navigate.itb.com/company/ONYX-Hospitality-Group--1030058,Siriyupa Prakobthong,"Director, Sales - Leisure"
Orion Construction Ltd,Albania,Tirana,1001 AL,https://navigate.itb.com/company/Orion-Construction-Ltd--1217180,Erjona Beqiraj,Marketing Director
Otium Otelcilik Tur. Tic. A.ş,Türkiye,Muratpaşa,07200,https://navigate.itb.com/company/Otium-Otelcilik-Tur--Tic--A-ş--1030383,Osman Aydin,Sales & Marketing Senior Manager
Otjiwa Collection,Namibia,Otjiwarongo,12005,https://navigate.itb.com/company/Otjiwa-Collection--1217143,Schalk Muller,Ceo
OTS Globe,Switzerland,Glattburg,CH-8152,https://navigate.itb.com/company/OTS-Globe--1206577,Dani Barros,Product Director
Outrigger,Mauritius,Bel Ombre,0,https://navigate.itb.com/company/Outrigger--1030437,Yannick Perrault,
